date,V0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,label
2015-07-14 00:00:00,21.6,22.6,23.233333333333338,61.0,0.1,20.9,3.200000000000003,0.20000000000000284,1.0,6,23.1,28.2,-2.6333333333333258,1
2015-07-23 00:00:00,25.2,22.4,23.433333333333334,115.5,0.2,22.7,2.5,-2.3000000000000007,-2.8000000000000007,11,24.5,30.8,3.3166666666667197,1
2015-08-10 00:00:00,33.5,19.8,25.358333333333327,5.0,9.5,30.8,1.4999999999999964,-9.099999999999998,-13.7,5,20.9,24.7,-1.1499999999998636,1
2015-09-20 00:00:00,24.0,12.6,18.48611111111111,20.0,9.9,23.4,3.8000000000000007,-10.600000000000001,-11.4,14,15.6,17.7,-3.516666666666765,1
2015-10-04 00:00:00,22.3,8.5,17.386111111111113,75.5,10.9,22.1,3.099999999999998,-11.700000000000001,-13.8,10,15.3,17.3,3.8666666666665606,1
2015-10-16 00:00:00,20.9,7.0,12.224999999999998,0.0,4.0,20.8,3.6999999999999993,-10.400000000000002,-13.899999999999999,10,7.6,10.5,0.9833333333333485,1
2015-10-19 00:00:00,24.2,5.3,14.418055555555561,0.0,10.4,23.0,2.6000000000000014,-13.100000000000001,-18.9,10,11.0,13.1,-0.3166666666667197,1
2015-10-23 00:00:00,21.8,9.2,14.855555555555554,0.0,10.2,20.3,6.5,-13.100000000000001,-12.600000000000001,-99999,8.3,10.9,1.216666666666697,1
2015-11-03 00:00:00,15.3,10.4,10.068055555555553,8.0,4.3,14.8,3.8999999999999986,-6.600000000000001,-4.9,13,8.9,11.4,-0.5833333333332575,1
2015-11-04 00:00:00,17.2,5.5,9.870833333333332,8.0,10.1,16.5,3.5,-12.399999999999999,-11.7,14,8.0,10.8,3.4166666666666288,1
2015-06-23 00:00:00,21.3,17.6,20.024999999999995,2.0,0.0,19.1,3.1999999999999993,-2.1999999999999993,-3.6999999999999993,10,19.7,22.9,4.899999999999864,0
2015-06-24 00:00:00,20.5,17.9,19.71388888888889,2.5,0.0,21.2,4.600000000000001,-5.0,-2.6000000000000014,15,20.6,24.3,2.799999999999841,0
2015-06-26 00:00:00,23.3,19.2,20.324999999999996,23.5,0.4,21.7,3.8000000000000007,-6.0,-4.100000000000001,10,22.2,26.8,-5.199999999999932,0
2015-06-27 00:00:00,22.8,22.7,20.931944444444447,98.0,0.0,22.7,1.6999999999999993,0.0,-0.10000000000000142,10,24.4,30.6,-7.75,0
2015-06-29 00:00:00,24.0,16.9,20.074999999999996,87.0,9.600000000000001,25.4,4.700000000000003,-10.5,-7.100000000000001,12,18.9,21.8,0.7999999999999545,0
2015-06-30 00:00:00,27.9,16.2,19.81527777777778,11.0,10.4,27.4,2.1000000000000014,-9.600000000000001,-11.7,11,17.0,19.4,0.9666666666668107,0
2015-07-01 00:00:00,19.1,18.9,20.30972222222223,99.5,0.0,19.2,2.3000000000000007,1.0,-0.20000000000000284,0,21.5,25.6,-4.099999999999795,0
2015-07-03 00:00:00,24.1,17.4,20.266666666666666,307.5,4.6,21.9,2.200000000000003,-5.699999999999999,-6.700000000000003,11,20.4,24.0,0.33333333333337123,0
2015-07-04 00:00:00,25.5,17.7,20.70555555555556,208.0,3.4,24.0,2.3999999999999986,-7.300000000000001,-7.800000000000001,10,19.6,22.7,1.933333333333394,0
2015-07-05 00:00:00,17.8,18.6,19.980555555555554,18.5,0.0,17.7,2.6999999999999993,0.3000000000000007,0.8000000000000007,14,20.1,23.5,6.500000000000114,0
2015-07-06 00:00:00,20.1,16.5,19.180555555555554,19.5,0.30000000000000004,19.3,3.5,-4.900000000000002,-3.6000000000000014,9,20.9,24.7,5.0,0
2015-07-07 00:00:00,20.2,16.8,18.191666666666666,33.5,0.0,20.0,3.1999999999999993,-2.5,-3.3999999999999986,14,22.4,27.0,2.8833333333333258,0
2015-07-08 00:00:00,23.4,19.2,19.03888888888889,23.5,0.0,22.1,4.0,-5.699999999999999,-4.199999999999999,10,24.5,30.8,0.9166666666666288,0
2015-07-09 00:00:00,26.3,21.7,20.980555555555558,23.5,3.1000000000000005,25.0,7.100000000000001,-10.8,-4.600000000000001,2,24.7,31.1,0.8333333333333712,0
2015-07-10 00:00:00,29.7,21.0,23.158333333333346,9.5,9.4,27.2,0.8000000000000007,-9.7,-8.7,14,24.2,30.3,1.1666666666667425,0
2015-07-11 00:00:00,30.6,23.5,24.849999999999994,1.0,6.500000000000001,29.1,4.699999999999996,-9.600000000000001,-7.100000000000001,4,21.6,25.8,0.5,0
2015-07-12 00:00:00,23.3,21.7,24.62083333333334,31.0,0.0,23.2,2.5,0.20000000000000284,-1.6000000000000014,0,25.2,32.0,-0.10000000000002274,0
2015-07-13 00:00:00,25.4,23.6,24.462500000000013,32.0,0.0,26.7,4.699999999999999,-6.699999999999999,-1.7999999999999972,8,21.6,25.8,-6.083333333333371,0
2015-07-15 00:00:00,22.1,21.7,23.466666666666665,31.0,8.5,26.0,2.5,-1.6000000000000014,-0.40000000000000213,4,23.2,28.4,-1.8500000000000227,0
2015-07-16 00:00:00,29.0,19.3,23.34722222222222,30.0,12.6,29.3,4.800000000000001,-11.599999999999998,-9.7,2,19.4,22.5,-4.7000000000000455,0
2015-07-17 00:00:00,22.5,22.8,23.397222222222222,1.0,0.4,22.4,4.900000000000002,-3.3999999999999986,0.3000000000000007,15,21.6,25.8,-7.9166666666667425,0
2015-07-19 00:00:00,29.6,16.4,21.150000000000006,4.5,5.7,27.5,3.8000000000000007,-11.400000000000002,-13.200000000000003,10,21.5,25.6,4.283333333333189,0
